dataset,model,precision_percent,specificity_percent,sensitivity_percent,f1_percent,overall_accuracy_percent
CIFAR-10,LeNet-5,62.05,95.80,62.21,62.13,62.21
CIFAR-10,VGG11,83.50,98.17,83.52,83.51,83.52
CIFAR-10,AlexNet,78.22,97.52,77.66,77.93,77.66
CIFAR-10,NIN,87.42,98.61,87.47,87.44,87.47
CIFAR-10,ResNet18,79.89,97.76,79.81,79.85,79.81
Brain Tumor,LeNet-5,86.86,94.49,88.09,87.47,88.70
Brain Tumor,VGG11,87.81,95.03,89.35,88.57,89.57
Brain Tumor,AlexNet,90.40,96.03,91.54,90.97,91.74
Brain Tumor,NIN,89.02,95.47,89.97,89.49,90.43
Brain Tumor,ResNet18,88.26,94.24,87.76,88.00,89.13
MWD,LeNet-5,84.39,94.79,84.38,84.38,84.38
MWD,VGG11,88.45,96.13,88.39,88.42,88.39
MWD,AlexNet,90.21,96.73,90.18,90.19,90.18
MWD,NIN,88.91,96.28,88.84,88.87,88.84
MWD,ResNet18,85.71,95.16,85.54,85.62,85.53
SVHN,LeNet-5,86.97,98.57,86.95,86.96,87.25
SVHN,VGG11,92.23,99.18,91.69,91.96,92.68
SVHN,AlexNet,90.29,99.01,89.89,90.09,91.14
SVHN,NIN,92.49,99.22,92.01,92.25,93.02
SVHN,ResNet18,92.46,99.21,91.99,92.22,92.99
CINIC-10,LeNet-5,54.26,94.93,54.33,54.30,54.34
CINIC-10,VGG11,68.18,96.45,68.04,68.11,68.04
CINIC-10,AlexNet,56.95,95.26,57.37,57.16,57.37
CINIC-10,NIN,77.73,97.48,77.35,77.54,77.35
CINIC-10,ResNet18,58.89,95.40,58.64,58.77,58.64
